iter	RMSE
0	80059.01266
1	79141.19913
2	78358.81621
3	77558.45224
4	76768.33399
5	75952.92487
6	75152.36311
7	74404.60635
8	73699.40058
9	73041.97527
10	72483.85824
11	71919.57265
12	71405.30337
13	70825.03733
14	70294.00808
15	69789.07073
16	69398.71475
17	68858.7252
18	68591.05817
19	68106.47567
20	67662.51486
21	67253.23959
22	66867.61007
23	66649.19642
24	66253.79121
25	65871.95306
26	65513.80849
27	65197.84107
28	64828.155
29	64469.67265
30	64212.13145
31	63929.76986
32	63707.30603
33	63405.72291
34	63162.13467
35	62902.48922
36	62685.95496
37	62430.84908
38	62147.94745
39	61936.64751
40	61701.11141
41	61424.21198
42	61168.30946
43	61000.41812
44	60796.39052
45	60625.45305
46	60409.97618
47	60221.27825
48	60071.18576
49	59937.40113
50	59757.57996
51	59520.16356
52	59376.29216
53	59180.0275
54	59037.82119
55	58921.67215
56	58761.36618
57	58680.73855
58	58553.67568
59	58400.77538
60	58241.72256
61	58039.11448
62	57898.73342
63	57723.54994
64	57617.06208
65	57533.46612
66	57398.03237
67	57302.5813
68	57123.60607
69	56938.19722
70	56820.12933
71	56691.21533
72	56463.10512
73	56304.82544
74	56253.7901
75	56115.73889
76	55997.97252
77	55916.05555
78	55743.0026
79	55651.29845
80	55559.07493
81	55400.83791
82	55267.42468
83	55186.29184
84	55053.60402
85	54969.01262
86	54829.8504
87	54714.8428
88	54590.60069
89	54485.30416
90	54398.27991
91	54319.23282
92	54242.07095
93	54187.59535
94	54096.7757
95	53981.20201
96	53852.46633
97	53791.78061
98	53698.40122
99	53601.45283
100	53508.91884
101	53431.32854
102	53380.63638
103	53291.79123
104	53180.03834
105	53116.58214
106	53024.43932
107	52997.55623
108	52921.84972
109	52852.40217
110	52756.35119
111	52659.803
112	52609.62106
113	52537.94799
114	52477.11148
115	52418.24718
116	52232.96042
117	52124.91893
118	52043.74918
119	52006.35981
120	51919.90411
121	51881.95085
122	51813.97753
123	51762.63718
124	51662.33139
125	51646.1195
126	51612.88262
