iter	Passed	Remaining
0	1	1673
1	4	2055
2	5	1924
3	7	1897
4	9	1827
5	11	1891
6	13	1857
7	14	1820
8	16	1795
9	18	1783
10	19	1754
11	21	1740
12	22	1734
13	24	1722
14	26	1709
15	27	1712
16	29	1707
17	31	1701
18	31	1650
19	33	1639
20	35	1634
21	36	1641
22	38	1652
23	39	1625
24	41	1620
25	43	1621
26	45	1630
27	47	1636
28	48	1634
29	50	1634
30	52	1634
31	54	1661
32	56	1653
33	58	1654
34	59	1652
35	61	1646
36	63	1648
37	65	1646
38	66	1647
39	69	1678
40	71	1679
41	73	1675
42	75	1670
43	77	1683
44	79	1679
45	81	1682
46	83	1689
47	85	1686
48	86	1682
49	88	1677
50	89	1673
51	91	1668
52	92	1660
53	94	1654
54	96	1650
55	98	1658
56	100	1666
57	102	1663
58	104	1664
59	106	1660
60	107	1655
61	109	1649
62	110	1644
63	112	1647
64	114	1643
65	115	1636
66	117	1630
67	118	1625
68	120	1621
69	121	1617
70	123	1613
71	124	1610
72	127	1614
73	129	1618
74	131	1620
75	133	1622
76	135	1623
77	137	1625
78	142	1657
79	144	1658
80	146	1660
81	148	1659
82	150	1659
83	151	1656
84	153	1652
85	159	1690
86	161	1691
87	164	1706
88	166	1708
89	169	1714
90	173	1734
91	175	1728
92	177	1729
93	179	1726
94	181	1725
95	182	1721
96	184	1715
97	186	1719
98	188	1715
99	191	1719
100	192	1716
101	195	1718
102	196	1715
103	198	1710
104	200	1709
105	203	1713
106	204	1707
107	206	1702
108	207	1697
109	209	1692
110	210	1687
111	212	1685
112	214	1680
113	217	1689
114	219	1685
115	220	1681
116	222	1677
117	224	1674
118	225	1670
119	227	1666
120	228	1661
121	230	1661
122	232	1658
123	234	1656
124	236	1653
125	237	1650
126	239	1647
127	241	1645
128	243	1644
129	245	1646
130	247	1642
131	249	1638
132	250	1635
133	252	1633
134	254	1630
135	256	1627
136	257	1625
137	259	1622
138	261	1618
139	264	1627
140	266	1623
141	267	1619
142	269	1614
143	270	1610
144	273	1614
145	275	1614
146	277	1612
147	279	1611
148	282	1612
149	283	1608
150	285	1606
151	289	1616
152	292	1617
153	293	1612
154	295	1608
155	296	1604
156	298	1600
157	299	1596
158	301	1592
159	302	1588
160	304	1585
161	305	1581
162	307	1577
163	308	1574
164	310	1570
165	311	1566
166	313	1563
167	314	1559
168	316	1554
169	317	1551
170	319	1549
171	322	1550
172	324	1551
173	326	1548
174	327	1545
175	329	1541
176	330	1537
177	332	1533
178	333	1529
179	335	1526
180	336	1521
181	337	1517
182	339	1514
183	340	1511
184	342	1508
185	343	1505
186	345	1501
187	347	1500
188	348	1497
189	350	1494
190	352	1491
191	353	1488
192	355	1485
193	356	1481
194	358	1478
195	359	1474
196	362	1476
197	363	1474
198	368	1481
199	369	1479
200	370	1471
201	371	1468
202	373	1465
203	374	1461
204	376	1458
205	377	1455
206	379	1452
207	381	1450
208	382	1448
209	384	1444
210	385	1441
211	386	1437
212	388	1435
213	390	1432
214	391	1430
215	393	1427
216	394	1424
217	396	1422
218	398	1420
219	399	1417
220	401	1415
221	403	1413
222	405	1411
223	406	1408
224	408	1405
225	409	1402
226	411	1400
227	412	1397
228	414	1394
229	415	1392
230	417	1389
231	418	1386
232	420	1383
233	421	1380
234	423	1378
235	424	1375
236	426	1372
237	427	1369
238	429	1366
239	430	1363
240	432	1361
241	433	1358
242	435	1355
243	436	1352
